127.0.0.1 - - [10/Jan/2022:11:30:03 +0800] "GET / HTTP/1.1" 404 992
127.0.0.1 - - [10/Jan/2022:12:20:05 +0800] "GET /MyWeb/%E6%A1%88%E4%BE%8B/%E6%A1%88%E4%BE%8B.html HTTP/1.1" 200 5719
127.0.0.1 - - [10/Jan/2022:12:20:05 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [10/Jan/2022:12:20:05 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [10/Jan/2022:12:20:05 +0800] "GET /MyWeb/img/%E6%B9%96%E5%B7%A5logo.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/Jan/2022:12:20:05 +0800] "GET /MyWeb/img/%E6%B9%96%E5%B7%A5%E4%BA%8C%E7%BB%B4%E7%A0%81.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/Jan/2022:12:23:44 +0800] "GET /MyWeb/%E6%A1%88%E4%BE%8B/%E6%A1%88%E4%BE%8B.html HTTP/1.1" 200 5673
127.0.0.1 - - [10/Jan/2022:12:23:44 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [10/Jan/2022:12:23:44 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [10/Jan/2022:12:23:44 +0800] "GET /MyWeb/img/%E6%B9%96%E5%B7%A5logo.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/Jan/2022:12:23:44 +0800] "GET /MyWeb/img/%E6%B9%96%E5%B7%A5%E4%BA%8C%E7%BB%B4%E7%A0%81.jpg HTTP/1.1" 304 -
